2016-06-13 15:41:13.0751|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
GitHub.IO.ProcessException: error: open("~$Data.xlsx"): Permission denied
error: unable to index file ~$Data.xlsx
fatal: adding files failed
2016-06-13 14:43:09.3905|INFO|thread:38|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'status --untracked-files=all --porcelain -z ', Working Directory: C:\Users\Ogni\Documents\GitHub\ahsdrones\
2016-06-13 14:43:09.3905|INFO|thread:42|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 29 at RepositoryModel.cs:596 after waiting 0.0298078s
2016-06-13 14:43:09.4255|INFO|thread:39|AsyncReaderWriterLock|Released concurrent scheduler for operation: 28 at GitClient.cs:201 after blocking 0.0459868s
2016-06-13 14:43:09.4370|INFO|thread:19|AsyncReaderWriterLock|Released concurrent scheduler for operation: 27 at RepositoryViewModel.cs:336 after blocking 0.0639215s
2016-06-13 14:43:09.4465|INFO|thread:39|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 30 at BranchSynchronizer.cs:126
2016-06-13 14:43:09.4465|INFO|thread:39|AsyncReaderWriterLock|Released concurrent scheduler for operation: 29 at RepositoryModel.cs:596 after blocking 0.0546926s
2016-06-13 14:43:09.4465|INFO|thread:42|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 30 at BranchSynchronizer.cs:126 after waiting 0.0037494s
2016-06-13 14:43:09.4771|INFO|thread:39|ConcurrentRepositoryConnection|branch stats: ahead 0, behind 0 on master
2016-06-13 14:43:09.4806|INFO|thread:39|AsyncReaderWriterLock|Released concurrent scheduler for operation: 30 at BranchSynchronizer.cs:126 after blocking 0.0302297s
2016-06-13 14:43:09.5631|INFO|thread:19|ConcurrentRepositoryConnection|Took 169ms to git status
2016-06-13 14:43:09.5631|INFO|thread:19|ConcurrentRepositoryConnection|Took 169ms to git status and parse output
2016-06-13 14:43:09.5811|INFO|thread:19|NewCommitViewModel|Took 225ms to load files for C:\Users\Ogni\Documents\GitHub\ahsdrones
2016-06-13 14:43:09.5811|INFO|thread:19|AsyncReaderWriterLock|Released concurrent scheduler for operation: 26 at GitClient.cs:290 after blocking 0.2221994s
2016-06-13 14:43:09.5886|INFO|thread: 1|NewCommitViewModel|Took 7ms to render file list for C:\Users\Ogni\Documents\GitHub\ahsdrones
2016-06-13 14:43:12.3645|INFO|thread:14|DashboardViewModel|Selected repository 'NeighborNinja/site'
2016-06-13 14:43:12.3645|INFO|thread:14|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 31 at GitClient.cs:628
2016-06-13 14:43:12.3645|INFO|thread:41|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 31 at GitClient.cs:628 after waiting 5.13E-05s
2016-06-13 14:43:12.3645|INFO|thread:14|AsyncReaderWriterLock|Acquiring exclusive scheduler for operation 32 at GitClient.cs:606
2016-06-13 14:43:12.4330|INFO|thread:19|AsyncReaderWriterLock|Released concurrent scheduler for operation: 31 at GitClient.cs:628 after blocking 0.0675418s
2016-06-13 14:43:12.4330|INFO|thread:44|AsyncReaderWriterLock|Acquired exclusive scheduler for operation: 32 at GitClient.cs:606 after waiting 0.0674844s
2016-06-13 14:43:12.6086|INFO|thread:44|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 33 at GitClient.cs:623
